,t_ts,tau_fb_ts_1,tau_fb_ts_2,tau_ts_1,tau_ts_2,th_d_ts_1,th_d_ts_2,th_dd_ts_1,th_dd_ts_2,th_ts_1,th_ts_2,ref_th_d_1,ref_th_d_2,ref_th_1,ref_th_2,th_ts_2_rel,th_d_ts_2_rel
1,0.0,0.5576767188916087,-3.1142862740290767,71.32051840741929,25.4490193043674,0.6776478015214417,0.6862113726356455,-0.05955372790646494,-0.09657152552241177,1.2367387592857877,-0.24329012218245213,0.6827132287599091,0.6629738239579552,1.2367643262833101,-0.24340654952613638,-1.4800288814682399,0.008563571114203805
2,0.01,1.1940094367456244,-5.778629018224679,70.57406432220449,22.832617660989435,0.6772417548670687,0.6851419550579059,-0.03083781704442468,-0.8632151846228263,1.2435128911096314,-0.23643318445415099,0.6871663004199471,0.6476973009506609,1.2436136685503603,-0.23685326153952824,-1.4799460755637823,0.007900200190837148
3,0.02,1.9020718306006268,-7.946781723817454,69.89668778101274,20.710732547337656,0.6771316170012138,0.67641036441434,-0.0005852754521616048,-1.4876497584672024,1.2502844274668217,-0.22962525914729195,0.6916835597168929,0.6325045667564538,1.250507866246338,-0.23045232421100614,-1.4799096866141137,-0.0007212525868738329
4,0.03,2.675245959108341,-9.61318576901723,69.28121605473275,19.088496903670638,0.6773308516625716,0.6614398664720932,0.030590947150880277,-1.9681450439013,1.2570563979845155,-0.22293585358342435,0.6962604975765675,0.6174008652508175,1.25744753866837,-0.22420287342731493,-1.4799922515679398,-0.01589098519047838
5,0.04,3.507250791886196,-10.802866140397816,68.72078663672083,17.94060324995801,0.6778466314768569,0.6416708565890867,0.06219155235425282,-2.311726620102019,1.2638319357041974,-0.21642015648537666,0.7008926487463394,0.6023914272277207,1.2644332602366664,-0.21810399269156422,-1.480252092189574,-0.03617577488777013
6,0.05,4.392114014100579,-11.562113356586167,68.20883069955192,17.220604328428628,0.6786812608626793,0.6184732764668374,0.09385095216020208,-2.5315174317070466,1.27061422081839,-0.21011930455959288,0.7055755980859906,0.5874814581587208,1.2714655609642747,-0.2121547133154298,-1.4807335253779828,-0.06020798439584196
7,0.06,5.324104466768864,-11.950301092211301,67.73901426624471,16.86907417278743,0.6798336959576878,0.5930856361853072,0.12533658528571065,-2.6444005539693953,1.2774064392948261,-0.2040613919190784,0.7103049867384811,0.5726761262007243,1.2785449269891709,-0.20635401473257042,-1.4814678312139045,-0.08674805977238065
8,0.07,6.297645309090871,-12.033038057977752,67.30515713780507,16.820433928662432,0.6813009615372702,0.5665774266505804,0.15653158410884613,-2.6690601412511326,1.2842117563434736,-0.19826297236312865,0.715076518150935,0.5579805505088596,1.2856718011673358,-0.20070082493048602,-1.4824747287066022,-0.11472353488668974
9,0.08,7.307226084970209,-11.87672355914473,66.90114808214956,17.008375010790537,0.6830793189477399,0.5398311354214729,0.1874071186534978,-2.6244213730927526,1.2910333029311727,-0.19273083953606904,0.719885963917524,0.5433997899083407,1.2928465837251686,-0.1951940209974996,-1.4837641424672416,-0.143248183526267
10,0.09,8.347327361780588,-11.544472920816117,66.52087051936819,17.369914655242518,0.6851651067681016,0.513539869966938,0.21799087743168505,-2.5284809692492374,1.2978741724209062,-0.18746390890102493,0.7247291694174672,0.5289388319762042,1.3000696329693282,-0.1898324297810059,-1.485338081321931,-0.1716252368011636
11,0.1,9.412366234722025,-11.093302994335657,66.15814767274182,17.84819429249746,0.6875552389484344,0.4882166771513596,0.24833697086307113,-2.397498025133106,1.3047374239482035,-0.18245506500140332,0.7296020592231598,0.5146025825803927,1.3073412660518282,-0.18461482865266188,-1.4871924889496069,-0.19933856179707482
12,0.11,10.496665995629717,-10.57241814961259,65.80671115331076,18.39418053133619,0.690247393196526,0.46421195150936695,0.278500794566924,-2.2455003563928004,1.3116260892430902,-0.1776928750781901,0.7345006422553881,0.5003958559198813,1.314661759787962,-0.17953994637570725,-1.4893189643212803,-0.226035441687159
13,0.12,11.594449348197976,-10.022410556105116,65.46019293904854,18.96745484575512,0.6932399518532462,0.44173577459298086,0.3085206167767569,-2.084053540242135,1.318543180090906,-0.1731631039396401,0.7394210166647197,0.4863233651055276,1.3220313515244313,-0.1746064640692211,-1.4917062840305462,-0.2515041772602653
14,0.13,12.699851953487517,-9.4751810586721,65.1121379757561,19.53628537228307,0.6965317696332516,0.42088255732222657,0.33840618917948645,-1.922237342602258,1.3254916943174537,-0.16884999391137606,0.7443593744204008,0.47238971331698587,1.32945024005484,-0.16981301626370637,-1.4943416882288298,-0.275649212311025
15,0.14,13.806951736003992,-8.954394007906158,64.75603312339044,20.077167079338587,0.7001218412606182,0.4016559115643128,0.3681336646335005,-1.7667759841178992,1.3324746189280339,-0.1647372972060407,0.7493120055904668,0.4585993855665578,1.3369185865795434,-0.1651581920421039,-1.4972119161340744,-0.29846592969630537
16,0.15,14.909809022867304,-8.47629655319645,64.3853476734953,20.573999391291103,0.704008931916705,0.38399221338860934,0.39764554085995085,-1.6222734666688445,1.3394949297143894,-0.1608090661094755,0.7542753022992028,0.4449567410961972,1.3444365157066982,-0.1606405362600194,-1.5003039958238649,-0.32001671852809566
17,0.16,16.0025129179972,-8.05075617905543,63.99358087632311,21.017047087279714,0.7081912189351166,0.3677818085809598,0.42685415786869624,-1.491511803168731,1.3465555872029988,-0.1570502193157764,0.7592457623505724,0.4314660064291748,1.3520041164912247,-0.1562585508387162,-1.5036058065187752,-0.3404094103541568
18,0.17,17.079230037827188,-7.682396380078515,63.57431255427986,21.401804213255325,0.712665977766405,0.3528872326239254,0.4556473478030822,-1.3757774974304875,1.3536595292264986,-0.15344691112967135,0.7642199925087537,0.4181312690931428,1.3596214435082947,-0.152010696124258,-1.50710644035617,-0.35977874514247954
19,0.18,18.13425262014381,-7.371736803495704,63.121253706923866,21.72785435747538,0.7174293311856459,0.33915816374738206,0.4838950595907024,-1.2751892526061945,1.3608096606600015,-0.1499867348003646,0.7691947114294173,0.4049564720266177,1.3672885179578849,-0.14789539230600246,-1.5107963954603663,-0.37827116743826383
20,0.19,19.162043898981594,-7.116269142369097,62.628294863982376,21.997795735519887,0.7224760692655426,0.3264430976502126,0.5114560677561774,-1.1890071048344322,1.3680088409959963,-0.14665879271459076,0.7741667522378403,0.3919454086762148,1.3750053287968722,-0.14391102088758467,-1.514667633710587,-0.39603297161533
21,0.2,20.15727941787615,-6.91142237323728,62.08955071298058,22.216277269977912,0.7277995392012302,0.31459793029619865,0.5381841622100585,-1.1159096326628037,1.3752598704637693,-0.14345366530121795,0.7791330647523818,0.3791017187874633,1.3827718338951498,-0.14005592620346174,-1.5187135357649872,-0.41320160890503155
22,0.21,21.114883584988387,-6.751389954386699,61.49940016495296,22.389172874509807,0.7333915985163225,0.30349176847827386,0.5639334666684668,-1.0542313892889277,1.382565475361594,-0.14036330796891547,0.7840907173541541,0.3664288848875795,1.3905879612121965,-0.13632841697407994,-1.5229287833305094,-0.42989983003804866
23,0.22,22.0300612474027,-6.6298070904259765,60.852521510617,22.522905704962607,0.739242622064105,0.2930103662158385,0.5885627310393706,-1.0021571717246809,1.3899282931889814,-0.13738090180934695,0.7890368985059774,0.35393022945445013,1.398453609990589,-0.13272676789278925,-1.5273091949983284,-0.4462322558482665
